"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"woman.jpg"	".jpg"	"r"	"yes"	"2007-07-26 05:11:11 IST"	"2007-07-26 05:11:11 IST"	"2007-07-26 05:11:23 IST"	"11620"	"1609"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/Pictures/Old Images/woman.jpg"
"woman.jpg-slack"	".jpg-slack"	"r"	"yes"	"2007-07-26 05:11:11 IST"	"2007-07-26 05:11:11 IST"	"2007-07-26 05:11:23 IST"	"156"	"1609"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/Pictures/Old Images/woman.jpg-slack"
"HEX32.DLL"	".DLL"	"r"	"yes"	"2007-07-14 23:24:57 IST"	"2007-07-14 23:24:57 IST"	"2007-07-14 23:26:05 IST"	"15360"	"1610"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/Documents/Hacker Stuff/HEX32.DLL"
"funny-monkey-2.jpg"	".jpg"	"r"	"yes"	"2007-07-27 04:57:00 IST"	"2007-07-27 04:57:00 IST"	"2007-07-27 04:57:20 IST"	"11570"	"1611"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/Pictures/funny-monkey-2.jpg"
"Logo-ACE-100x100.gif"	".gif"	"r"	"yes"	"2007-07-27 04:57:00 IST"	"2007-07-27 04:57:00 IST"	"2007-07-27 04:57:20 IST"	"6798"	"1612"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/Pictures/Logo-ACE-100x100.gif"
"ValidateCreditCard.zip"	".zip"	"r"	"yes"	"2007-07-14 23:26:55 IST"	"2007-07-14 23:26:55 IST"	"2007-07-14 23:27:06 IST"	"409724"	"1613"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/Documents/ValidateCreditCard.zip"
"FileZilla_2_2_32_setup.exe"	".exe"	"r"	"yes"	"2007-06-24 05:53:32 IST"	"2007-06-24 05:53:26 IST"	"2007-06-24 05:54:52 IST"	"3458079"	"1617"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/Desktop/FileZilla_2_2_32_setup.exe"
"image_0.png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"228"	"0"	"445b9b4af00fc642bfa7908b5ae18dd0"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Public/Documents/Japanese text.doc/image_0.png"
"image_1.png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"228"	"0"	"445b9b4af00fc642bfa7908b5ae18dd0"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Public/Documents/Japanese text.doc/image_1.png"
"image_2.png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"151"	"0"	"9cfcfb5add9fb35ad88d2361d673903b"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Public/Documents/Japanese text.doc/image_2.png"
"1.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1969"	"0"	"e3918f6e7e395a963f78f4f4456b1b30"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/1.jpg"
"2.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1889"	"0"	"1264c2e2236990f91d0ae773bc03d651"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/2.jpg"
"3.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2088"	"0"	"8c98df51ac2ead86da76b2e97414709b"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/3.jpg"
"4.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1934"	"0"	"75befb3b5af6bccc270b137b435d9dcd"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/4.jpg"
"5.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2285"	"0"	"572f46bc82c72926d416e12216d63360"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/5.jpg"
"6.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2136"	"0"	"df3cf3ee757bba853be237bd85cc1219"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/6.jpg"
"7.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1964"	"0"	"807c55729665db1f9ea0da9afd1a4793"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/7.jpg"
"8.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1906"	"0"	"d839c90c96e8aabf34cc1a8278e2c1df"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/8.jpg"
"9.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1764"	"0"	"bb6d71ff0599af53bbdf4c604280d9fa"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/9.jpg"
"10.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1951"	"0"	"86859e7ca36c7f570009ab83a5f9b37d"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/10.jpg"
"12.jpg"	".jpg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1985"	"0"	"f2efceacf2c9aa304962427006168e2d"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/12.jpg"
"Confidential Business Letter.doc"	".doc"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"29696"	"0"	"8c7789850bca1d2f3920d87d1e850455"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/Confidential Business Letter.doc"
"Prescription2.gif"	".gif"	"r"	""	"0000-00-00 00:00:00"	"2007-03-06 07:22:34 IST"	"2007-03-06 06:50:28 IST"	"5920"	"0"	"91874c61e3ed020bfdcc865e91a6a5b2"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/Users/Wes Mantooth/AppData/Local/Microsoft/Outlook/Outlook.pst/Prescription2.gif"
